YEARMONTH,資料年月,商品類期貨每月平均成交金額
202409,202409,364351006
202408,202408,379344486
202407,202407,295367067
202406,202406,367860104
202405,202405,470757884
202404,202404,427764488
202403,202403,372004148
202402,202402,277249635
202401,202401,240159348
202312,202312,303269463
202311,202311,303763825
202310,202310,358564960
202309,202309,226323412
202308,202308,280451320
202307,202307,303523556
202306,202306,331158766
202305,202305,293202383
202304,202304,272568543
202303,202303,302338159
202302,202302,321674310
202301,202301,256279063
202212,202212,274866727
202211,202211,401961151
202210,202210,317773283
202209,202209,369068521
202208,202208,336859143
202207,202207,390126118
202206,202206,368583704
202205,202205,485911752
202204,202204,451730568
202203,202203,565526223
202202,202202,344425725
202201,202201,296168434
202112,202112,266655350
202111,202111,326424906
202110,202110,254355776
202109,202109,244092030
202108,202108,234146107
202107,202107,261654929
202106,202106,322786852
202105,202105,358798461
202104,202104,312411273
202103,202103,348821050
202102,202102,350552265
202101,202101,359677256
202012,202012,399995164
202011,202011,461395925
202010,202010,486923113
202009,202009,624321720
202008,202008,837155478
202007,202007,677413243
202006,202006,617460359
202005,202005,491891416
202004,202004,756509490
202003,202003,666967567
202002,202002,485911750
202001,202001,538974942
201912,201912,436615298
201911,201911,349558191
201910,201910,457886005
201909,201909,467021108
201908,201908,587210433
201907,201907,305569365
201906,201906,519823552
201905,201905,405237966
201904,201904,372952407
201903,201903,346741655
201902,201902,277527153
201901,201901,397720183
201812,201812,378267769
201811,201811,377016675
201810,201810,415040600
201809,201809,343991938
201808,201808,425821193
201807,201807,491663413
201806,201806,176410708
201805,201805,174957867
201804,201804,165506286
201803,201803,126759634
201802,201802,170830639
201801,201801,153618315
201712,201712,135631525
201711,201711,132891588
201710,201710,171815762
201709,201709,149173364
201708,201708,156113748
201707,201707,151014604
201706,201706,179154468
201705,201705,245915085
201704,201704,171369704
201703,201703,140764153
201702,201702,174427974
201701,201701,177949779
201612,201612,162884267
201611,201611,244479739
201610,201610,203923889
201609,201609,259840481
201608,201608,362323819
201607,201607,427561258
201606,201606,167484175
201605,201605,146321545
201604,201604,160324769
201603,201603,134367300
201602,201602,276095023
201601,201601,160186024
201512,201512,95961650
201511,201511,76042376
201510,201510,103413369
201509,201509,95614886
201508,201508,180345445
201507,201507,91189982
201506,201506,79463738
201505,201505,81641570
201504,201504,108709383
201503,201503,122174455
201502,201502,147959689
201501,201501,106076773
201412,201412,92268684
201411,201411,101638974
201410,201410,73437241
201409,201409,69930060
201408,201408,73642474
201407,201407,64727771
201406,201406,93901235
201405,201405,84225434
201404,201404,99720165
201403,201403,84463112
201402,201402,97152371
201401,201401,86597492
201312,201312,81067898
201311,201311,74956198
201310,201310,114748914
201309,201309,119748373
201308,201308,180216231
201307,201307,110473348
201306,201306,192957842
201305,201305,159391032
201304,201304,258972058
201303,201303,100990105
201302,201302,183266204
201301,201301,122895894
201212,201212,124981027
201211,201211,113032295
201210,201210,147393753
201209,201209,163630691
201208,201208,161267505
201207,201207,133695732
201206,201206,164257390
201205,201205,167495963
201204,201204,146609492
201203,201203,137534744
201202,201202,155727592
201201,201201,201882849
201112,201112,214354429
201111,201111,237642046
201110,201110,239597850
201109,201109,396769304
201108,201108,443488845
201107,201107,191773508
201106,201106,173226386
201105,201105,179196969
201104,201104,244963173
201103,201103,169185509
201102,201102,293189979
201101,201101,224777854
201012,201012,239628964
201011,201011,216558053
201010,201010,180867668
201009,201009,74434560
201008,201008,88646035
201007,201007,114658742
201006,201006,217062086
201005,201005,184615569
201004,201004,105631581
201003,201003,100943927
201002,201002,152514823
201001,201001,147764549
200912,200912,3575664399
200911,200911,3553469537
200910,200910,3327813791
200909,200909,3840930973
200908,200908,3922013495
200907,200907,3131812951
200906,200906,3804055645
200905,200905,4263363826
200904,200904,7479893569
200903,200903,8755038122
200902,200902,10236893244
200901,200901,12103990215
200812,200812,7966189477
200811,200811,8572296326
200810,200810,10009311004
200809,200809,12467026423
200808,200808,9719021403
200807,200807,10711184316
200806,200806,14642018323
200805,200805,12318077789
200804,200804,18028401686
200803,200803,8915170701
200802,200802,14830489772
200801,200801,8420798060
200712,200712,8092284454
200711,200711,7200500542
200710,200710,4011272925
200709,200709,5611876
200708,200708,3772493
200707,200707,3801737
200706,200706,15095378
200705,200705,11846207
200704,200704,11851964
200703,200703,12362764
200702,200702,8647024
200701,200701,28446628
200612,200612,26603597
200611,200611,22639817
200610,200610,19725372
200609,200609,7929958
200608,200608,7401797
200607,200607,8538307
200606,200606,5586589
200605,200605,42958166
200604,200604,168087559
200603,200603,81433704
200602,200602,954971
200512,200512,736438
200511,200511,736811
200510,200510,810492
200508,200508,737558
200507,200507,811479
200506,200506,11811075
200505,200505,1546632
200504,200504,14613496
200503,200503,7413815
200502,200502,32470452
200501,200501,20885220
200412,200412,56752828
200411,200411,21399649
200410,200410,9722638687
200409,200409,4740882534
200408,200408,10702924693
200407,200407,32692188002
200406,200406,18575697463
200405,200405,3888287459
