PERIOD,統計期,經濟成長率(%)
108年第1季,108年第1季,2.05
108年第2季,108年第2季,2.99
108年第3季,108年第3季,3.43
108年第4季,108年第4季,3.7
109年第1季,109年第1季,2.88
109年第2季,109年第2季,0.62
109年第3季,109年第3季,4.44
109年第4季,109年第4季,5.39
110年第1季,110年第1季,9.57
110年第2季,110年第2季,8.07
110年第3季,110年第3季,4.15
110年第4季,110年第4季,5.12
111年第1季,111年第1季,3.84
111年第2季,111年第2季,3.48
111年第3季,111年第3季,3.98
111年第4季,111年第4季,-0.68
112年第1季,112年第1季,-3.49
112年第2季,112年第2季,1.41
112年第3季,112年第3季,2.15
112年第4季,112年第4季,4.83
113年第1季,113年第1季,6.63
113年第2季,113年第2季,5.06
註解：,註解：,NA
2024Q1為修正數，2024Q2為初步統計數。,2024Q1為修正數，2024Q2為初步統計數。,NA
